Amount,Date,Recipient
$76.92,3/1/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/15/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/1/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/21/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/7/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$500.00,11/30/2012,Friends of Max Baucus
$76.92,11/23/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/9/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/26/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,10/12/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,9/28/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,9/14/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,8/31/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,8/17/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,8/3/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,7/20/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,7/6/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,6/22/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,6/8/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,5/25/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,5/11/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,4/27/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,4/13/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,3/30/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,3/16/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,3/2/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$57.00,2/17/2012,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$114.00,12/23/2011,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
